Pos.1,Pos.2,Precision.1,Precision.2,Dis.1,Dis.2,Sal.1,Sal.2,Tar.1,Tar.2
47%,53%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
65%,35%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
46%,54%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
41%,59%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
49%,51%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
46%,54%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
37%,63%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
57%,43%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
65%,35%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
65%,35%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
42%,58%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
50%,50%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
70%,30%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
36%,64%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
56%,44%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
52%,48%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
62%,38%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
48%,52%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
67%,33%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
48%,52%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
34%,66%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
55%,45%,235 of 344 — 68%,83% — 510 of 616,2 of 15 — 13%,27% — 3 of 11,3 of 3 — 100%,100% — 2 of 2,,
